"HostName";"Version";"Build";"Manufacturer";"Model";"vCenterServer";"SerialNumber";"Cluster";"ClusterNotes";"BootTime";"PowerState";"ConnectionState";"IpAddress";"SubnetMask";"DefaultGateway";"vMotionIPv4Address";"vMotionSubnetMask";"DnsServer";"SearchDomain";"MacAddress";"PhysicalLocation";"Notes";"VMs"
"esxi6092.tinu.cloud.ch";"7.0.3";"20842708";"HPE";"Synergy 480 Gen10";"vcsa0023.tinu.cloud.ch";"VCGG2M7046";"c4tn9080";"CaaS";"2023-05-23 12:24:03";"PoweredOn";"Connected";"10.90.24.16";"255.255.254.0";;"192.168.80.14";"255.255.255.0";"10.90.0.12,10.90.0.11";"tinu.cloud.ch";"ea:95:a5:a0:01:93";"DCGA";"";"2"
"esxi9922.tinu.cloud.ch";"7.0.3";"20842708";"HPE";"ProLiant DL380 Gen10";"vcsa0023.tinu.cloud.ch";"CZ2326029C";"host";;"2023-07-25 13:47:33";"PoweredOn";"Maintenance";"10.94.10.222";"255.255.255.0";;"192.168.50.31";"255.255.255.0";"10.32.4.35,10.32.4.34";"tinu.cloud.ch";"5c:ed:8c:66:d4:8a";"DCSG";"";
"esxi6062.tinu.cloud.ch";"7.0.3";"20842708";"HPE";"Synergy 480 Gen10";"vcsa0023.tinu.cloud.ch";"VCGG2M7020";"c4tn9050";"DWaaS";"2023-07-25 03:13:34";"StandBy";"NotResponding";"10.90.24.62";"255.255.254.0";"10.90.24.1";"192.168.50.13";"255.255.255.0";"10.90.0.12,10.90.0.11";"tinu.cloud.ch";"ea:95:a5:a0:00:9d";"DCGA";"mwalther, End AutoDeploy, 2023-04-13";
"esxi6061.tinu.cloud.ch";"7.0.3";"20842708";"HPE";"Synergy 480 Gen10";"vcsa0023.tinu.cloud.ch";"VCGG2M701Z";"c4tn9050";"DWaaS";"2023-07-25 03:05:07";"StandBy";"NotResponding";"10.90.24.61";"255.255.254.0";"10.90.24.1";"192.168.50.12";"255.255.255.0";"10.90.0.12,10.90.0.11";"tinu.cloud.ch";"ea:95:a5:a0:00:99";"DCGA";"mwalther, End AutoDeploy, 2023-04-17";
"esxi9063.tinu.cloud.ch";"7.0.3";"20842708";"HPE";"Synergy 480 Gen10";"vcsa0023.tinu.cloud.ch";"VCGZ7LH033";"c4tn9050";"DWaaS";"2023-07-24 06:12:18";"StandBy";"NotResponding";"10.90.24.163";"255.255.254.0";"10.90.24.1";"192.168.50.18";"255.255.255.0";"10.90.0.12,10.90.0.11";"tinu.cloud.ch";"26:ca:41:70:01:30";"DCSG";"mwalther, End AutoDeploy, 2023-04-14";
"esxi9069.tinu.cloud.ch";"7.0.3";"20842708";"HPE";"Synergy 480 Gen10";"vcsa0023.tinu.cloud.ch";"VCGZ7LH039";"c4tn9050";"DWaaS";"2023-07-25 12:34:52";"StandBy";"NotResponding";"10.90.24.24";"255.255.254.0";"10.90.24.1";"192.168.50.37";"255.255.255.0";"10.90.0.12,10.90.0.11";"tinu.cloud.ch";"26:ca:41:70:01:48";"DCSG";"mwalther, End AutoDeploy, 2023-06-09";
"esxi6065.tinu.cloud.ch";"7.0.3";"20842708";"HPE";"Synergy 480 Gen10";"vcsa0023.tinu.cloud.ch";"VCGG2M7023";"c4tn9050";"DWaaS";"2023-07-25 12:36:49";"StandBy";"NotResponding";"10.90.24.11";"255.255.254.0";"10.90.24.1";"192.168.50.20";"255.255.255.0";"10.90.0.12,10.90.0.11";"tinu.cloud.ch";"ea:95:a5:a0:00:a9";"DCGA";"mwalther, Start AutoDeploy, 2023-04-24";
"esxi9066.tinu.cloud.ch";"7.0.3";"20842708";"HPE";"Synergy 480 Gen10";"vcsa0023.tinu.cloud.ch";"VCGZ7LH036";"c4tn9050";"DWaaS";"2023-08-07 06:47:39";"PoweredOn";"Connected";"10.90.24.14";"255.255.254.0";"10.90.24.1";"192.168.50.23";"255.255.255.0";"10.90.0.12,10.90.0.11";"tinu.cloud.ch";"26:ca:41:70:01:3c";"DCSG";"mwalther, End AutoDeploy, 2023-04-24";"38"
"esxi6071.tinu.cloud.ch";"7.0.3";"20842708";"HPE";"Synergy 480 Gen10";"vcsa0023.tinu.cloud.ch";"VCGG2M701W";"c4tn9050";"DWaaS";"2023-08-04 03:23:41";"PoweredOn";"Connected";"10.90.24.21";"255.255.254.0";"10.90.24.1";"192.168.50.34";"255.255.255.0";"10.90.0.12,10.90.0.11";"tinu.cloud.ch";"ea:95:a5:a0:00:8d";"DCGA";"mwalther, End AutoDeploy, 2023-06-09";"45"
"esxi6066.tinu.cloud.ch";"7.0.3";"20842708";"HPE";"Synergy 480 Gen10";"vcsa0023.tinu.cloud.ch";"VCGG2M7024";"c4tn9050";"DWaaS";"2023-08-07 06:21:57";"PoweredOn";"Connected";"10.90.24.12";"255.255.254.0";"10.90.24.1";"192.168.50.21";"255.255.255.0";"10.90.0.12,10.90.0.11";"tinu.cloud.ch";"ea:95:a5:a0:00:ad";"DCGA";"mwalther, End AutoDeploy, 2023-04-24";"31"
"esxi6067.tinu.cloud.ch";"7.0.3";"20842708";"HPE";"Synergy 480 Gen10";"vcsa0023.tinu.cloud.ch";"VCGG2M7025";"c4tn9050";"DWaaS";"2023-08-07 03:23:13";"PoweredOn";"Connected";"10.90.24.17";"255.255.254.0";"10.90.24.1";"192.168.50.30";"255.255.255.0";"10.90.0.12,10.90.0.11";"tinu.cloud.ch";"ea:95:a5:a0:00:b1";"DCGA";"mwalther, End AutoDeploy, 2023-06-09";"31"
"esxi9065.tinu.cloud.ch";"7.0.3";"20842708";"HPE";"Synergy 480 Gen10";"vcsa0023.tinu.cloud.ch";"VCGZ7LH035";"c4tn9050";"DWaaS";"2023-08-06 03:15:41";"PoweredOn";"Connected";"10.90.24.13";"255.255.254.0";"10.90.24.1";"192.168.50.22";"255.255.255.0";"10.90.0.12,10.90.0.11";"tinu.cloud.ch";"26:ca:41:70:01:38";"DCSG";"mwalther, End AutoDeploy, 2023-04-24";"40"
"esxi6070.tinu.cloud.ch";"7.0.3";"20842708";"HPE";"Synergy 480 Gen10";"vcsa0023.tinu.cloud.ch";"VCGG2M7027";"c4tn9050";"DWaaS";"2023-08-07 03:17:38";"PoweredOn";"Connected";"10.90.24.20";"255.255.254.0";"10.90.24.1";"192.168.50.33";"255.255.255.0";"10.90.0.12,10.90.0.11";"tinu.cloud.ch";"ea:95:a5:a0:00:b9";"DCGA";"mwalther, End AutoDeploy, 2023-06-09";"31"
"esxi9070.tinu.cloud.ch";"7.0.3";"20842708";"HPE";"Synergy 480 Gen10";"vcsa0023.tinu.cloud.ch";"VCGZ7LH00G";"c4tn9050";"DWaaS";"2023-08-04 05:11:39";"PoweredOn";"Connected";"10.90.24.25";"255.255.254.0";"10.90.24.1";"192.168.50.38";"255.255.255.0";"10.90.0.12,10.90.0.11";"tinu.cloud.ch";"26:ca:41:70:00:3b";"DCSG";"mwalther, End AutoDeploy, 2023-06-09";"49"
"esxi9061.tinu.cloud.ch";"7.0.3";"20842708";"HPE";"Synergy 480 Gen10";"vcsa0023.tinu.cloud.ch";"VCGZ7LH031";"c4tn9050";"DWaaS";"2023-08-07 06:10:15";"PoweredOn";"Connected";"10.90.24.161";"255.255.254.0";"10.90.24.1";"192.168.50.16";"255.255.255.0";"10.90.0.12,10.90.0.11";"tinu.cloud.ch";"26:ca:41:70:01:28";"DCSG";"mwalther, End AutoDeploy, 2023-04-14";"33"
"esxi6064.tinu.cloud.ch";"7.0.3";"20842708";"HPE";"Synergy 480 Gen10";"vcsa0023.tinu.cloud.ch";"VCGG2M7022";"c4tn9050";"DWaaS";"2023-08-07 03:09:15";"PoweredOn";"Connected";"10.90.24.64";"255.255.254.0";"10.90.24.1";"192.168.50.15";"255.255.255.0";"10.90.0.12,10.90.0.11";"tinu.cloud.ch";"ea:95:a5:a0:00:a5";"DCGA";"mwalther, End AutoDeploy, 2023-04-14";"34"
"esxi9062.tinu.cloud.ch";"7.0.3";"20842708";"HPE";"Synergy 480 Gen10";"vcsa0023.tinu.cloud.ch";"VCGZ7LH032";"c4tn9050";"DWaaS";"2023-08-07 03:05:11";"PoweredOn";"Connected";"10.90.24.162";"255.255.254.0";"10.90.24.1";"192.168.50.17";"255.255.255.0";"10.90.0.12,10.90.0.11";"tinu.cloud.ch";"26:ca:41:70:01:2c";"DCSG";"mwalther, End AutoDeploy, 2023-04-14";"35"
"esxi9802.tinu.cloud.ch";"7.0.3";"20842708";"Huawei";"2288H V5";"vcsa0023.tinu.cloud.ch";"2102311XBK10K4000516";"c4tn9051";"PowerVDI";"2023-02-15 21:20:25";"PoweredOn";"Connected";"10.94.10.212";"255.255.255.0";;"192.168.50.27";"255.255.255.0";"10.32.4.34,10.32.4.35";"tinu.cloud.ch";"9c:7d:a3:1a:4a:58";"DCSG";"";"20"
"esxi6921.tinu.cloud.ch";"7.0.3";"20842708";"HPE";"ProLiant DL380 Gen10";"vcsa0023.tinu.cloud.ch";"CZ211803H9";"c4tn9051";"PowerVDI";"2023-02-15 20:57:47";"PoweredOn";"Connected";"10.94.10.121";"255.255.255.0";;"192.168.50.28";"255.255.255.0";"10.32.4.35,10.32.4.34";"tinu.cloud.ch";"b4:7a:f1:a9:5b:c4";"DCGA";"";"20"
"esxi6802.tinu.cloud.ch";"7.0.3";"20842708";"Huawei";"2288H V5";"vcsa0023.tinu.cloud.ch";"2102311XBKFSLB000523";"c4tn9051";"PowerVDI";"2023-02-15 20:50:08";"PoweredOn";"Connected";"10.94.10.112";"255.255.255.0";;"192.168.50.25";"255.255.255.0";"10.32.4.34,10.32.4.35";"tinu.cloud.ch";"48:dc:2d:0f:ce:49";"DCGA";"";"19"
"esxi9921.tinu.cloud.ch";"7.0.3";"20842708";"HPE";"ProLiant DL380 Gen10";"vcsa0023.tinu.cloud.ch";"CZ211803HB";"c4tn9051";"PowerVDI";"2023-03-08 21:18:43";"PoweredOn";"Connected";"10.94.10.221";"255.255.255.0";;"192.168.50.29";"255.255.255.0";"10.32.4.35,10.32.4.34";"tinu.cloud.ch";"b4:7a:f1:a9:54:4a";"DCSG";"";"17"
"esxi6922.tinu.cloud.ch";"7.0.3";"20842708";"HPE";"ProLiant DL380 Gen10";"vcsa0023.tinu.cloud.ch";"CZ23260299";"c4tn9051";"PowerVDI";"2023-07-21 10:04:41";"PoweredOn";"Connected";"10.94.10.122";"255.255.255.0";;"192.168.50.30";"255.255.255.0";"10.32.4.35,10.32.4.34";"tinu.cloud.ch";"5c:ed:8c:67:33:94";"DCGA";"";"19"
"esxi9801.tinu.cloud.ch";"7.0.3";"20842708";"Huawei";"2288H V5";"vcsa0023.tinu.cloud.ch";"2102311XBK10K4000446";"c4tn9051";"PowerVDI";"2023-02-15 21:08:43";"PoweredOn";"Connected";"10.94.10.211";"255.255.255.0";;"192.168.50.26";"255.255.255.0";"10.32.4.34,10.32.4.35";"tinu.cloud.ch";"9c:7d:a3:0c:1b:75";"DCSG";"mwalther, vmnic1000202, Inc 7636620, vmnic2, 7606461, 2023-06-06";"24"
"esxi6801.tinu.cloud.ch";"7.0.3";"20842708";"Huawei";"2288H V5";"vcsa0023.tinu.cloud.ch";"2102311XBK10K4000466";"c4tn9051";"PowerVDI";"2023-05-17 05:08:57";"PoweredOn";"Connected";"10.94.10.111";"255.255.255.0";;"192.168.50.24";"255.255.255.0";"10.32.4.34,10.32.4.35";"tinu.cloud.ch";"a8:f5:ac:13:37:47";"DCGA";"";"18"
